Position,Pan_wt,Dry_wt,phi_n225,phi_n1,phi_n05,phi_00,phi_05,phi_10,phi_15,phi_20,phi_25,phi_30,phi_35,phi_40,dryfines
0,,,0,0,0.03,0.04,0.1,0.22,0.73,5.23,17.49,14.1,2.02,0.79,0.1
1,,,0,0,0,0.01,0.02,0.12,0.48,4.5,17.84,14.41,2.08,0.68,0.07
2,,,0.14,0.05,0,0.01,0.05,0.19,0.6,5.64,17.61,10.75,1.52,0.38,0.01
3,,,0,0.42,0.17,0.18,0.28,0.59,1.23,7,18.13,10.35,1.73,0.34,0
4,,,0.26,1.15,0.52,0.46,0.46,0.64,1,5.59,16.33,12.45,1.73,0.99,0.1
5,,,0.07,1.3,0.54,0.45,0.55,1,1.89,7.24,16.98,11.02,1.22,0.32,0
6,,,0,0.16,0.03,0.07,0.14,0.46,1.89,7.91,16.63,13.62,1.64,0.7,0.08
7,,,0,0,0,0.02,0.07,0.23,0.67,5.95,17.08,13.14,2.26,0.96,0.08
8,,,0.28,1.32,0.51,0.43,0.48,0.63,0.95,6.15,15.8,9.83,1.31,0.49,0.03
9,,,1.03,0.73,0.21,0.18,0.19,0.3,0.74,4.93,14.27,10.81,1.4,0.57,0.04
10,,,0,0.18,0.27,0.4,0.33,0.42,0.93,5.67,16.95,15.56,2,0.74,0.11
11,,,0,0.01,0.03,0.1,0.15,0.31,0.98,6.6,14.03,12.04,3.06,1.29,0.14
12,,,0,0.24,0.08,0.1,0.16,0.38,0.96,5.18,16.25,16.42,2.9,0.67,0.08
13,,,0,0.04,0.05,0.07,0.18,0.52,1.78,6.9,14.19,13.87,2.24,0.76,0.14
14,,,0,0.15,0.07,0.07,0.12,0.26,1.09,6.99,16.48,14.05,1.85,0.58,0.13
15,,,0.13,0,0,0,0,0.19,0.72,5.24,14.84,14.55,3,1.22,0.23
